"cohort","l50","low","high","(Intercept)","length","mat","immat","tot"
1973,250,234,261,-10.9003028570883,0.0435584675282886,2280,79,2359
1974,261,257,266,-14.3787305268929,0.0549940462734157,3428,181,3609
1975,259,251,265,-15.628227736884,0.0603641261057972,1744,109,1853
1976,268,265,272,-25.9635513624848,0.0968290918102027,683,399,1082
1977,263,256,268,-22.7569089177587,0.0866590042795756,568,38,606
1978,278,274,282,-43.9753085028036,0.157951503491732,1137,99,1236
1980,243,225,253,-8.09387287377263,0.0332733660579446,517,29,546
1981,294,286,300,-26.1837918982769,0.0892115466293561,1158,98,1256
1982,277,273,280,-25.9886247483699,0.0939038028626653,3018,101,3119
1984,272,260,277,-26.4875225230177,0.0975556915135431,252,28,280
1985,280,269,287,-25.3555756651322,0.090646299796758,240,18,258
1986,267,248,279,-17.4189521486072,0.0652116441438866,248,11,259
1988,257,245,267,-9.50584865700271,0.0369629480868292,1206,71,1277
1989,298,291,305,-30.342762455923,0.10172438229227,268,19,287
1993,279,266,287,-14.354694881628,0.0514439856752921,484,47,531
1994,279,272,286,-18.4699479793699,0.0660850027957726,904,80,984
1995,271,261,278,-15.2256362723606,0.0562191705763106,714,44,758
1996,253,233,264,-10.6767738975058,0.042253190809567,1080,60,1140
1997,265,258,272,-17.4509013121903,0.0657544989933383,520,59,579
1998,274,270,279,-22.150282834362,0.0807108918117622,554,60,614
1999,256,252,260,-20.3790430547882,0.079667793717439,2345,115,2460
2000,251,244,257,-34.2957876748702,0.136793432407496,233,14,247
2001,245,231,253,-21.4810122773535,0.0875671476390866,310,13,323
2002,258,253,262,-33.1924607410465,0.128531484466059,669,40,709
2003,259,256,263,-23.2973780928525,0.0898030523329611,1023,131,1154
2004,263,258,269,-27.6690509559101,0.105028763039442,444,97,541
2005,248,241,255,-17.0340594807209,0.0687067358141979,1030,58,1088
2006,266,260,272,-23.7946278922485,0.0894567946237578,267,34,301
2007,271,266,275,-32.3683971390136,0.119650924615925,402,83,485
2008,277,273,281,-31.8866284386167,0.115074692728717,593,78,671
2009,262,257,268,-29.4286982217237,0.112354804678924,165,33,198
2010,259,255,263,-56.5479886287793,0.218093289155807,903,18,921
2011,259,244,271,-24.9021487289366,0.0962706929798199,746,11,757
2013,276,272,279,-76.2104278979357,0.276592265407673,761,19,780
2014,270,267,272,-54.9715120725196,0.203831923434201,821,79,900
2015,262,260,264,-30.7418717644972,0.117134256704952,1279,219,1498
2016,265,259,271,-34.9565009860446,0.131902123190925,243,47,290
2017,263,261,265,-28.9051283625457,0.109997188319114,935,326,1261
2018,258,255,261,-32.5640356525287,0.126305972359912,462,82,544
2019,257,254,260,-45.1542739789958,0.175845071751927,435,97,532
2020,256,254,258,-28.9589054005066,0.113136928276313,453,180,633
